PKLocNb;NPA;LocName
429;8614;Bertschikon (Gossau ZH)
430;8544;Bertschikon b. Attikon
431;6611;Berzona
432;6863;Besazio
433;5627;Besenbüren
434;1609;Besencens
435;8777;Betschwanden
436;3991;Betten
437;3366;Bettenhausen
438;1041;Bettens
439;4126;Bettingen
440;2544;Bettlach
441;3992;Bettmeralp
442;9553;Bettwiesen
443;5618;Bettwil
444;2935;Beurnevésin
445;1994;Beuson
446;2022;Bevaix
447;7502;Bever
448;2735;Bévilard
449;1880;Bex
450;6710;Biasca
451;6711;Biasca Sortite
452;6710;Biasca Stazione
453;2326;Biaufond
454;4562;Biberist
455;8242;Bibern SH
456;4578;Bibern SO
457;5023;Biberstein
458;8363;Bichelsee
459;9248;Bichwil
460;6958;Bidogno
461;2500;Biel 1 Ausgabe
462;2501;Biel TD
463;3981;Biel VS
464;2500;Biel/Bienne
465;2501;Biel/Bienne
466;2502;Biel/Bienne
467;2503;Biel/Bienne
468;2504;Biel/Bienne
469;2505;Biel/Bienne
470;2500;Biel/Bienne 1
471;2500;Biel/Bienne 3
472;2500;Biel/Bienne 4
473;2500;Biel/Bienne 5
474;2500;Biel/Bienne 6
475;2500;Biel/Bienne 7
476;2500;Biel/Bienne 8
477;2500;Biel/Bienne 9
478;4105;Biel-Benken BL
479;3419;Biembach im Emmental
480;1145;Bière
481;4585;Biezwil
482;3513;Bigenthal
483;3507;Biglen
484;6676;Bignasco
485;6954;Bigorio
486;1681;Billens
487;8865;Bilten
488;3996;Binn
489;4102;Binningen
490;4102;Binningen 1
491;4102;Binningen 2
492;8122;Binz
493;6934;Bioggio
494;6981;Biogno-Beride
495;1046;Bioley-Magnoux
496;1041;Bioley-Orjulaz
497;1670;Bionnens
498;3901;Birgisch
499;8903;Birmensdorf ZH
500;5413;Birmenstorf AG
501;6804;Bironico
502;5242;Birr
503;5244;Birrhard
504;5242;Birr-Lupfig
505;5708;Birrwil
506;4127;Birsfelden
507;8585;Birwinken
508;9220;Bischofszell
509;9220;Bischofszell Nord
510;6436;Bisisthal
511;8514;Bissegg
512;6816;Bissone
513;3983;Bister
514;3982;Bitsch
515;7457;Bivio
516;3771;Blankenburg
517;3919;Blatten (Lötschen)
518;6102;Blatten (Malters)
519;3914;Blatten b. Naters
520;4223;Blauen
521;3717;Blausee-Mitholz
522;3368;Bleienbach
523;3518;Bleiken b. Oberdiessbach
524;1675;Blessens
525;3981;Blitzingen
526;1807;Blonay
527;3638;Blumenstein
528;8439;Böbikon
529;4461;Böckten
530;3715;Boden (Adelboden)
531;6743;Bodio TI
532;2856;Boécourt
533;1353;Bofflens
534;1279;Bogis-Bossey
535;6951;Bogno
536;2014;Bôle
537;4556;Bolken
538;3067;Boll
539;3065;Bolligen
540;3065;Bolligen Dorf
541;3065;Bolligen Station
542;8715;Bollingen
543;1474;Bollion
544;3366;Bollodingen
545;3766;Boltigen
546;6981;Bombinasco
547;7402;Bonaduz
548;8554;Bonau
549;2926;Boncourt
550;2944;Bonfol
551;3806;Bönigen b. Interlaken
552;4618;Boningen
553;5706;Boniswil
554;1729;Bonnefontaine
555;8906;Bonstetten
556;1427;Bonvillars
557;8113;Boppelsen
558;1277;Borex
559;6658;Borgnone
560;7604;Borgonovo
561;6935;Bosco Luganese
562;6685;Bosco/Gurin
563;3178;Bösingen
564;1615;Bossonnens
565;5623;Boswil
566;1041;Bottens
567;4814;Bottenwil
568;1652;Botterens
569;8598;Bottighofen
570;4103;Bottmingen
571;5315;Böttstein
572;2043;Boudevilliers
573;2017;Boudry
574;1172;Bougy-Villars
575;1041;Boulens
576;1698;Bouloz
577;1946;Bourg-St-Pierre
578;1722;Bourguillon
579;1035;Bournens
580;2803;Bourrignon
581;1034;Boussens
582;1897;Bouveret
583;2113;Boveresse
584;1932;Bovernier
585;3533;Bowil
586;5254;Bözen
587;6544;Braggio
588;7527;Brail
589;6167;Bramboden
590;1967;Bramois
591;3941;Bratsch
592;9502;Braunau
593;8784;Braunwald
594;6979;Brè sopra Lugano
595;6932;Breganzona
596;7165;Breil/Brigels
597;4226;Breitenbach
598;1121;Bremblens
599;5620;Bremgarten AG
600;3047;Bremgarten b. Bern
601;1683;Brenles
602;6937;Breno
